Date,Open,High,Low,Close
06/23/2022,"15,451.55","15,628.45","15,367.50","15,556.65"
06/22/2022,"15,545.65","15,565.40","15,385.95","15,413.30"
06/21/2022,"15,455.95","15,707.25","15,419.85","15,638.80"
06/20/2022,"15,334.50","15,382.50","15,191.10","15,350.15"
06/17/2022,"15,272.65","15,400.40","15,183.40","15,293.50"
06/16/2022,"15,832.25","15,863.15","15,335.10","15,360.60"
06/15/2022,"15,729.25","15,783.65","15,678.90","15,692.15"
06/14/2022,"15,674.25","15,858.00","15,659.45","15,732.10"
06/13/2022,"15,877.55","15,886.15","15,684.00","15,774.40"
06/10/2022,"16,283.95","16,324.70","16,172.60","16,201.80"
06/09/2022,"16,263.85","16,492.80","16,243.85","16,478.10"
06/08/2022,"16,474.95","16,514.30","16,293.35","16,356.25"
06/07/2022,"16,469.60","16,487.25","16,347.10","16,416.35"
06/06/2022,"16,530.70","16,610.95","16,444.55","16,569.55"
06/03/2022,"16,761.65","16,793.85","16,567.90","16,584.30"
06/02/2022,"16,481.65","16,646.40","16,443.05","16,628.00"
06/01/2022,"16,594.40","16,649.20","16,438.85","16,522.75"
05/31/2022,"16,578.45","16,690.75","16,521.90","16,584.55"
05/30/2022,"16,527.90","16,695.50","16,506.15","16,661.40"
05/27/2022,"16,296.60","16,370.60","16,221.95","16,352.45"
05/26/2022,"16,105.00","16,204.45","15,903.70","16,170.15"
05/25/2022,"16,196.35","16,223.35","16,006.95","16,025.80"
05/24/2022,"16,225.55","16,262.80","16,078.60","16,125.15"
05/23/2022,"16,290.95","16,414.70","16,185.75","16,214.70"
05/20/2022,"16,043.80","16,283.05","16,003.85","16,266.15"
05/19/2022,"15,917.40","15,984.75","15,775.20","15,809.40"
05/18/2022,"16,318.15","16,399.80","16,211.20","16,240.30"
05/17/2022,"15,912.60","16,284.25","15,900.80","16,259.30"
05/16/2022,"15,845.10","15,977.95","15,739.65","15,842.30"
05/13/2022,"15,977.00","16,083.60","15,740.85","15,782.15"
05/12/2022,"16,021.10","16,041.95","15,735.75","15,808.00"
05/11/2022,"16,270.05","16,318.75","15,992.60","16,167.10"
05/10/2022,"16,248.90","16,404.55","16,197.30","16,240.05"
05/09/2022,"16,227.70","16,403.70","16,142.10","16,301.85"
05/06/2022,"16,415.55","16,484.20","16,340.90","16,411.25"
05/05/2022,"16,854.75","16,945.70","16,651.85","16,682.65"
05/04/2022,"17,096.60","17,132.85","16,623.95","16,677.60"
05/02/2022,"16,924.45","17,092.25","16,917.25","17,069.10"
04/29/2022,"17,329.25","17,377.65","17,053.25","17,102.55"
04/28/2022,"17,189.50","17,322.50","17,071.05","17,245.05"
